,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime
180,180,0 days 00:16:00,71856.0,78.6868012133291,-1202.0,2008-06-11 15:14:00,2008-06-11 15:30:00,0 days 00:26:00
181,181,0 days 00:06:00,76540.0,68.97981254506128,730.75,2008-06-12 16:02:00,2008-06-12 16:08:00,0 days 00:06:00
182,182,0 days 00:20:00,27048.0,44.98627858627858,-326.8181818181818,2008-06-13 11:50:00,2008-06-13 12:10:00,0 days 00:28:00
183,183,0 days 00:04:00,16016.0,32.62379565314811,4499.666666666667,2008-06-13 11:56:00,2008-06-13 12:00:00,0 days 00:04:00
184,184,0 days 02:38:00,148990.0,100.0,-268.7625,2008-06-13 17:14:00,2008-06-13 19:52:00,0 days 02:50:00
185,185,0 days 00:06:00,53083.0,41.491191045662745,1143.75,2008-06-16 16:36:00,2008-06-16 16:42:00,0 days 00:06:00
186,186,0 days 00:06:00,17614.0,30.89850191207944,6.25,2008-06-17 11:20:00,2008-06-17 11:26:00,0 days 00:06:00
187,187,0 days 00:06:00,33769.0,44.23847826656536,325.25,2008-06-18 13:40:00,2008-06-18 13:46:00,0 days 00:06:00
188,188,0 days 00:18:00,19967.0,16.940567598523742,-587.6,2008-06-25 05:06:00,2008-06-25 05:24:00,0 days 11:00:00
189,189,0 days 00:12:00,10127.0,15.376089399046492,-325.0,2008-06-26 11:36:00,2008-06-26 11:48:00,0 days 00:50:00
190,190,0 days 00:08:00,8903.0,12.836853867781713,-232.4,2008-06-26 13:06:00,2008-06-26 13:14:00,0 days 00:12:00
191,191,0 days 00:08:00,6803.0,8.919276808307004,58.0,2008-06-26 13:54:00,2008-06-26 14:02:00,0 days 00:10:00
192,192,0 days 00:34:00,75474.0,96.23962357981715,-532.5555555555555,2008-07-01 14:10:00,2008-07-01 14:44:00,0 days 01:22:00
193,193,0 days 00:32:00,65474.0,100.0,-149.2941176470588,2008-07-01 14:52:00,2008-07-01 15:24:00,0 days 00:34:00
194,194,0 days 00:20:00,111658.0,75.94387425438865,-1626.090909090909,2008-07-01 19:12:00,2008-07-01 19:32:00,0 days 00:24:00
195,195,0 days 00:04:00,13196.0,9.04213404230535,3712.0,2008-07-01 19:32:00,2008-07-01 19:36:00,0 days 00:04:00
196,196,0 days 00:06:00,18701.0,24.384233241625708,-5004.5,2008-07-02 13:32:00,2008-07-02 13:38:00,0 days 00:34:00
197,197,0 days 00:12:00,47831.0,78.7380446771034,393.57142857142856,2008-07-02 13:40:00,2008-07-02 13:52:00,0 days 00:12:00
